Sample	Location	Timing	Plot	Depth	NO3-N	NO2-N	DOC	Alkalinity-CaCO3	Calcium	Chloride	Potassium	Magnesium	Manganese	Sodium	pH	EC	Total-Diss-Solids	Sulfate	Iron	Arsenic	Lead	Cadmium	Chromium	Zinc
KTR-MBAS-NS-000-160715	KTR	early	NS	0	19.8	0	1.9	486	159	93	2.2	150	184	63	7.5	1781	1365	369	61	4	0	0	11	0
KTR-MBAS-NS-030A-160715	KTR	early	NS	30	20.1	0	2.7	420	105	85	19	33	611	144	7.3	1647	1160	336	1685	6	0	0.7	13	0
KTR-MBAS-NS-055A-160715	KTR	early	NS	55	19.8	0	1.9	486	159	93	2.2	150	184	63	7.5	1781	1365	369	61	4	0	0	11	0
KTR-000-160722	KTR	late	NS	0	20.1	0	2.7	420	105	85	19	33	611	144	7.3	1647	1160	336	1685	6	0	0.7	13	0
KTR-030A-160722	KTR	late	NS	30	20.2	0	2.8	422	135	86	12	41	1480	187	7.2	1662	1170	341	10	6	0	0.6	8	0
KTR-055A-160722	KTR	late	NS	55	21.3	0	1.8	492	150	90	2.4	154	162	68	7.5	1806	1280	267	47	5	0	0	20	0
KTR-000-160729	KTR	early	BC	0	21.6	0	2.4	438	171	86	6.7	124	428	69	7.3	1721	1214	349	1168	6	0	0	7	0
KTR-030A-160729	KTR	early	BC	30	21.4	0	2.4	443	167	86	6.3	123	141	70	7.3	1739	1254	354	568	6	0	0	4	0
KTR-055A-160729	KTR	early	BC	55	25.6	0	4.2	526	146	90	2.9	174	222	65	7.7	1894	1410	400	30	6	0	0	8	37
KTR-PRB-160808	KTR	late	BC	30	18.3	1.2	16	510	160	84	8.8	144	692	61	7.3	1843	1385	384	87	6	0	0.5	0	0
KTR-080A-160808	KTR	late	BC	110	18.1	1.3	13.8	506	169	83	9.3	146	715	63	7.3	1831	1335	382	170	6	0	0.5	0	0
KTR-080B-160808	KTR	late	BC	110	6.4	0	18.8	570	134	93	5.9	158	323	64	7.3	1855	1320	398	32	5	0	0	0	0
KTR-000-160812	KTR	early	WC	0	14.5	0	8.3	511	151	92	6.7	133	489	66	7.3	1798	1360	391	99	5	0	0	0	0
KTR-PRB-160812	KTR	early	WC	30	17.6	0	6.9	492	149	91	6.3	129	396	65	7.3	1796	1305	385	226	5	0	0	0	0
KTR-055A-160812	KTR	early	WC	85	24.9	0	2.4	492	140	97	2.3	144	121	63	7.5	1809	1225	356	15	9	0	0	31	0
KTR-000-160819	KTR	late	WC	0	19.2	1.1	23.2	501	137	91	2.5	144	176	62	7.4	1817	1305	355	0	4	0	0.5	2	0
KTR-PRB-160819	KTR	late	WC	30	17.3	3.2	26.3	463	144	88	4.8	130	468	64	7.2	1755	1255	345	167	5	0	0	2	0
KTR-055A-160819	KTR	late	WC	85	26.2	0	2.8	518	134	93	2.3	154	152	58	7.5	1884	1330	369	0	5	0	0	18	12
180828_KTYA_P3_000	KTYA	late	MX	0	7.6	0	3.4	193	0	81	11.8	32	101	80	7.4	864	511	98	0	0	0	0	2	0
180828_KTYA_P3_030A	KTYA	late	MX	30	7.3	0.1	3.9	190	50	81	11.8	32	101	80	7.4	864	511	98	0	0	0	0	2	0
180828_KTYA_P3_055A	KTYA	late	MX	55	7.3	0.1	4.2	192	49	81	11	33	287	78	7.4	863	537	98	0	1	0	0	1.8	0
180821_KTYA_P3_000	KTYA	early	MX	0	7.3	0	3.2	178	48	76	10.1	29	0	64	7.4	793	520	91	0	0	0	0	1.7	115
180821_KTYA_P3_030A	KTYA	early	MX	30	7.1	0.1	4.1	176	47	75	8.4	30	261	68	7.4	801	517	91	24	0	0	0	0	0
180821_KTYA_P3_055A	KTYA	early	MX	55	7.1	0.1	4	176	48	76	8.8	30	765	72	7.4	785	506	91	62	0	0	0	2.6	0
180809_KTYA_P2_000	KTYA	late	WC	0	4.8	0	1.6	164	45	54	3.7	28	0	46	7.7	624	400	55	0	1.4	0	0	0	50
180809_KTYA_P2_030A	KTYA	late	WC	30	4.8	0	1.7	162	44	54	4	28	0	46	7.6	617	409	56	0	1.3	0	0	0	0
180809_KTYA_P2_055A	KTYA	late	WC	55	4.8	0	1.7	162	43	54	4.9	28	25	50	7.6	612	400	55	0	1.1	0	0	0	0
180727_KTYA_P2_000	KTYA	early	WC	0	8.6	0	2.3	159	42	70	5.1	30	0	48	7.5	703	440	75	0	1.4	0	0	2.8	44
180727_KTYA_P2_030A	KTYA	early	WC	30	8.4	0	2.7	160	41	70	5.2	30	201	52	7.4	713	446	75	0	0	0	0	1	0
180727_KTYA_P2_055A	KTYA	early	WC	55	8.4	0	2.9	160	41	70	4.5	30	911	51	7.5	709	417	76	24	0	0	0	0	0
180720_KTYA_P1_000	KTYA	late	NS	0	9.5	0	2.2	156	45	76	5.9	31	0	54	7.5	736	497	80	0	1.4	0	0	2.5	11
180720_KTYA_P1_030A	KTYA	late	NS	30	9.7	0	2.1	156	44	77	6.2	31	0	61	7.4	738	480	81	0	1.2	0	0	2.5	0
180720_KTYA_P1_055A	KTYA	late	NS	55	9.8	0	2.2	156	38	78	6.5	28	0	63	7.5	745	489	81	0	1.2	0	0	2.3	0
180709_KTYA_P1_000	KTYA	early	NS	0	13.2	0	2	141	52	97	6.9	38	0	59	7.4	850	554	97	0	2.1	0	0	2.6	108
180709_KTYA_P1_030A	KTYA	early	NS	30	13.3	0	2.1	141	50	96	7.2	37	10	66	7.4	848	543	96	0	1.6	0	0	2.5	0
180709_KTYA_P1_055A	KTYA	early	NS	55	13.3	0	2	145	47	97	6.9	36	0	75	7.4	856	563	97	0	2	0	0	1.7	0
150909-HSP-TP4-Piez-055A	HSP	late	WC	85	22.2	0.2	NA	126	56	127	8.3	43	15	83	7	1057	628	117	0	3	0	0	NA	0
150909-HSP-TP4-Piez-000	HSP	late	WC	0	22.1	0.2	NA	123	49	125	1.6	50	0	76	7.2	1018	620	113	0	3	0	0	NA	0
150902-HSP-TP4-030	HSP	early	WC	60	21.3	0.3	2.7	127	53	125	4.5	49	169	80	7	1041	663	113	10	3	0	0	NA	0
150902-HSP-TP4-PRB	HSP	early	WC	30	21.9	0.2	1.7	121	54	123	1.8	53	0	71	7.2	1026	617	110	0	3	0	0	NA	0
150902-HSP-TP4-000	HSP	early	WC	0	21.6	0.2	1.6	121	54	123	1.8	54	0	68	7.2	1020	631	109	0	2	0	0	NA	0
150821-HSP-TP3-000	HSP	early	NS	0	22.2	0.2	NA	123	50	129	1.7	49	0	79	7	1068	660	120	0	2	0	0	NA	0
150821-HSP-TP3-030	HSP	early	NS	30	22.3	0.3	NA	132	56	131	12	38	0	93	7.3	1124	643	124	0	2	0	0	NA	0
150826-HSP-TP3-055	HSP	late	NS	55	21.8	0.2	NA	123	49	123	1.9	49	0	76	7.2	1022	586	110	0	2	0	0	NA	0
150826-HSP-TP3-000	HSP	late	NS	0	21.4	0.2	NA	124	50	123	1.7	49	0	72	7.3	1034	606	110	0	2	0	0	NA	0
150717-HSP-TP2-060	HSP	early	WC	90	22.7	0.3	1.9	125	52	131	3.2	49	0	92	7.1	1071	643	128	0	3	0	0	NA	0
